"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","task","url","Participant_id","Assignment_id_from_URL","Project_id_from_URL","start_time","devicePixelRatio","view_history","rt","response","question_order"
"true","false","[]","[]","[]","preload","0","1496","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","1","2493","0.0-1.0","1029","737","true","chrome","142.0.0","false","Mac OS","true","60.4","true","true","BC_before_fullscreen","https://www.yxu.caltech.edu/experiment_demo/MA_experiment_demo/Stage1_Part3_instruction-and-quiz.html","ParticipantIDnotValid","AssignmentIDnotValid","ProjectIDnotValid","Sat, 08 Nov 2025 22:39:47 GMT","1","","","",""
"true","","","","","fullscreen","2","5332","0.0-2.0","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","3","6343","0.0-4.0","1920","1080","true","chrome","142.0.0","false","Mac OS","true","60.01","true","true","BC_after_fullscreen","","","","","","1","","","",""
"","","","","","instructions","4","12690","0.0-5.0","","","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1177},{""page_index"":1,""viewing_time"":193},{""page_index"":2,""viewing_time"":210},{""page_index"":3,""viewing_time"":180},{""page_index"":4,""viewing_time"":157},{""page_index"":5,""viewing_time"":628},{""page_index"":6,""viewing_time"":492},{""page_index"":7,""viewing_time"":647},{""page_index"":8,""viewing_time"":555},{""page_index"":9,""viewing_time"":644},{""page_index"":10,""viewing_time"":794},{""page_index"":11,""viewing_time"":668}]","6346","",""
"","","","","","browser-check","5","13693","0.0-6.0","1920","1080","true","chrome","142.0.0","false","Mac OS","true","59.94","true","true","BC_after_instruction","","","","","","1","","","",""
"","","","","","survey-multi-choice","6","16373","0.0-7.0-0.0","","","","","","","","","","","","quiz","","","","","","","","2679","{""<b>Q1</b>"":""True""}","[0]"
"","","","","","survey-multi-choice","7","17546","0.0-7.0-2.0-0.0","","","","","","","","","","","","wrong","","","","","","","","1172","{""[object Object]_wrong"":""<mark style='background-color:#DC4B48; color:white'>✖ True</mark>""}","[0]"
"","","","","","survey-multi-choice","8","19083","0.0-7.0-0.1","","","","","","","","","","","","quiz","","","","","","","","1535","{""<b>Q2</b>"":""How similar they are in terms of <u>the shape and brightness of the face</u>""}","[0]"
"","","","","","survey-multi-choice","9","20284","0.0-7.0-2.1-0.1","","","","","","","","","","","","wrong","","","","","","","","1200","{""[object Object]_wrong"":""<mark style='background-color:#DC4B48; color:white'>✖ How similar they are in terms of <u>the shape and brightness of the face</u></mark>""}","[0]"
"","","","","","survey-multi-choice","10","21934","0.0-7.0-0.2","","","","","","","","","","","","quiz","","","","","","","","1647","{""<b>Q3</b>"":""I indicate that person A has <u>more different</u> personality and characteristics to person C""}","[0]"
"","","","","","survey-multi-choice","11","22516","0.0-7.0-2.2-0.2","","","","","","","","","","","","wrong","","","","","","","","581","{""[object Object]_wrong"":""<mark style='background-color:#DC4B48; color:white'>✖ I indicate that person A has <u>more different</u> personality and characteristics to person C</mark>""}","[0]"
"","","","","","survey-multi-choice","12","23809","0.0-7.0-0.3","","","","","","","","","","","","quiz","","","","","","","","1293","{""<b>Q4</b>"":""All other faces in the arena""}","[0]"
"","","","","","survey-multi-choice","13","24160","0.0-7.0-1.3-0.3","","","","","","","","","","","","correct","","","","","","","","349","{""[object Object]_correct"":""<mark style='background-color:#7B955B; color:white'>✔ All other faces in the arena</mark>""}","[0]"
"","","","","","survey-multi-choice","14","25985","0.0-7.0-0.4","","","","","","","","","","","","quiz","","","","","","","","1824","{""<b>Q5</b>"":""True""}","[0]"
"","","","","","survey-multi-choice","15","26336","0.0-7.0-1.4-0.4","","","","","","","","","","","","correct","","","","","","","","350","{""[object Object]_correct"":""<mark style='background-color:#7B955B; color:white'>✔ True</mark>""}","[0]"
"","","","","","survey-multi-choice","16","27806","0.0-7.0-0.5","","","","","","","","","","","","quiz","","","","","","","","1468","{""<b>Q6</b>"":""Yes""}","[0]"
"","","","","","survey-multi-choice","17","28271","0.0-7.0-1.5-0.5","","","","","","","","","","","","correct","","","","","","","","464","{""[object Object]_correct"":""<mark style='background-color:#7B955B; color:white'>✔ Yes</mark>""}","[0]"
"","","","","","survey-multi-choice","18","31181","0.0-7.0-0.6","","","","","","","","","","","","quiz","","","","","","","","2908","{""<b>Q7</b>"":""The center of the face""}","[0]"
"","","","","","survey-multi-choice","19","31512","0.0-7.0-1.6-0.6","","","","","","","","","","","","correct","","","","","","","","330","{""[object Object]_correct"":""<mark style='background-color:#7B955B; color:white'>✔ The center of the face</mark>""}","[0]"
"true","","","","","fullscreen","20","32515","0.0-8.0","","","","","","","","","","","","","","","","","","","","","",""
